東京,0,0,418184
品川,-86,202.5,474025
渋谷,-202.5,86,924572
新宿,-197.5,-31.2,1359645
高田馬場,-181,-91.2,339729
池袋,-163.7,-175.5,1027813
日暮里,9.4,-179.8,150316
北千住,130.2,-292.3,461693
上野,29,-116.4,182469
秋葉原,17.5,-57.4,302788
錦糸町,147.3,-62.5,103548
