EOGNoiseDuration,blinkIntervalAvg,blinkIntervalMax,blinkSpeed,blinkSpeedStd,blinkStrength,blinkStrengthMax,blinkStrengthMin,bodyMoveVertical,cadence,capturedAt,eyeMoveBigHorizontal,eyeMoveBigVertical,eyeMoveHorizontal,eyeMoveVertical,fitError,focus,footholdLeft,footholdRight,numBlinkBurst,numBlinks,numSteps1000,numSteps280,numSteps310,numSteps340,numSteps370,numSteps400,numSteps430,numSteps460,numSteps500,numSteps530,numSteps560,numSteps590,numSteps620,numSteps650,numSteps680,numSteps710,numSteps750,numSteps780,numSteps810,numSteps840,numSteps870,numSteps900,numSteps930,numSteps960,numStoredData,pitchAvg,pitchDiff,powerLeft,rollAvg,rollDiff,sittingPostureIndex1,sittingPostureIndex2,sittingPostureIndex3,sleepy
2,1952.667,4000,208,88,123,189,40,,0,"Tue, 17 May 2016 14:36:00 +0900",0,8.275862,3.103448,3.103448,0,2,0,0,3.103448,5.172414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,4,0,0,0,12,25,0
0,2620,8730,141,15,72,125,37,,0,"Tue, 17 May 2016 14:37:00 +0900",0,45,11,12,0,3,0,0,5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,4,0,0,0,1,6,0
0,5430,26270,149,18,67,98,42,,0,"Tue, 17 May 2016 14:38:00 +0900",0,44,7,16,0,3,0,0,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,4,0,0,7,12,2,0
10,4900,17290,177,40,63,106,38,,0,"Tue, 17 May 2016 14:39:00 +0900",3.6,61.2,14.4,7.2,0,3,0,0,1.2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,4,0,0,1,25,25,1
17,1834.667,1834.667,161,53,77,118,36,,132,"Tue, 17 May 2016 14:40:00 +0900",2.790698,69.76744,33.48837,16.74419,0,0,54,55,9.767442,27.90698,0,0,2,2,2,8,14,14,12,10,3,0,0,1,0,0,1,0,0,0,0,0,0,0,41,19.24,11.84,4,-3.79,9.17,7,25,8,0
12,1728,1728,181,60,82,156,34,,122,"Tue, 17 May 2016 14:41:00 +0900",8.75,70,27.5,6.25,0,0,61,57,12.5,32.5,0,1,0,2,1,8,11,12,26,16,12,10,4,1,1,1,2,1,1,0,0,0,0,0,40,8.03,7.86,4,-0.38,9.24,13,25,12,0
16,2104.667,2104.667,172,49,81,186,42,,117,"Tue, 17 May 2016 14:42:00 +0900",0,58.63636,27.27273,8.181818,0,0,55,53,10.90909,25.90909,0,0,1,0,0,0,2,1,2,3,2,3,1,1,0,1,0,0,0,0,0,0,0,0,39,14.05,9.83,4,-4.96,8.47,18,7,1,0
1,3726.833,11520,172,65,81,136,41,,0,"Tue, 17 May 2016 14:43:00 +0900",2.033898,39.66102,16.27119,14.23729,0,2,0,0,2.033898,13.22034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,4,0,0,1,6,10,1
2,7250,18500,148,8,92,119,61,,0,"Tue, 17 May 2016 14:44:00 +0900",1.034483,15.51724,1.034483,7.241379,0,2,0,0,1.034483,8.275862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,4,0,0,5,6,5,1
0,5850,16080,150,10,84,115,58,,0,"Tue, 17 May 2016 14:45:00 +0900",0,15,2,5,0,2,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,4,0,0,5,0,0,1
