EOGNoiseDuration,blinkIntervalAvg,blinkIntervalMax,blinkSpeed,blinkSpeedStd,blinkStrength,blinkStrengthMax,blinkStrengthMin,bodyMoveVertical,cadence,capturedAt,eyeMoveBigHorizontal,eyeMoveBigVertical,eyeMoveHorizontal,eyeMoveVertical,fitError,focus,footholdLeft,footholdRight,numBlinkBurst,numBlinks,numSteps1000,numSteps280,numSteps310,numSteps340,numSteps370,numSteps400,numSteps430,numSteps460,numSteps500,numSteps530,numSteps560,numSteps590,numSteps620,numSteps650,numSteps680,numSteps710,numSteps750,numSteps780,numSteps810,numSteps840,numSteps870,numSteps900,numSteps930,numSteps960,numStoredData,pitchAvg,pitchDiff,powerLeft,rollAvg,rollDiff,sittingPostureIndex1,sittingPostureIndex2,sittingPostureIndex3,sleepy
8,2721.333,9130,194,66,67,126,33,,0,"Tue, 17 May 2016 12:12:00 +0900",0,3.461539,9.230769,51.92308,0,3,0,0,3.461539,13.84615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,12,25,2,0
11,2564.333,2564.333,190,64,86,198,33,,0,"Tue, 17 May 2016 13:45:00 +0900",8.571429,18.36735,37.95918,61.22449,0,2,0,0,4.897959,19.59184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,15,17,7,0
23,4273.5,4273.5,180,46,82,158,34,,0,"Tue, 17 May 2016 13:46:00 +0900",3.243243,12.97297,14.59459,35.67567,0,2,0,0,0,14.59459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,1,7,0
0,10190,21680,253,75,47,56,42,,0,"Tue, 17 May 2016 13:47:00 +0900",0,5,9,49,0,2,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,1,7,0
5,5380.833,12670,225,105,79,198,35,,0,"Tue, 17 May 2016 13:48:00 +0900",5.454545,15.27273,22.90909,54.54546,0,2,0,0,2.181818,10.90909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,7,1,7,1
8,4836,16680,155,27,62,101,36,,0,"Tue, 17 May 2016 13:49:00 +0900",0,12.69231,15,57.69231,0,3,0,0,2.307692,12.69231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,12,11,0
3,7153.5,16420,191,75,64,93,40,,0,"Tue, 17 May 2016 13:50:00 +0900",0,3.157895,8.421053,55.78947,0,2,0,0,0,8.421053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,7,0,0
6,8748,35990,190,81,45,58,34,,0,"Tue, 17 May 2016 13:51:00 +0900",0,2.222222,15.55556,50,0,3,0,0,0,6.666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,5,0,0,25,12,2,0
2,8062,20000,158,8,60,84,48,,0,"Tue, 17 May 2016 13:52:00 +0900",0,3.103448,7.241379,36.2069,0,2,0,0,0,4.137931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,5,0,0,2,2,7,1
8,4515.333,19830,189,54,55,79,33,,0,"Tue, 17 May 2016 13:53:00 +0900",0,3.461539,5.769231,48.46154,0,3,0,0,1.153846,10.38462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,5,0,0,1,1,7,1
3,5966,15680,175,27,45,61,36,,0,"Tue, 17 May 2016 13:54:00 +0900",0,2.105263,5.263158,52.63158,0,2,0,0,1.052632,4.210526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,5,0,0,1,1,1,1
1,9164.667,17070,174,32,54,86,34,,0,"Tue, 17 May 2016 13:55:00 +0900",0,2.033898,9.152542,46.77966,0,2,0,0,1.016949,7.118644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,5,0,0,7,2,7,1
0,18460,20130,150,0,47,57,37,,0,"Tue, 17 May 2016 13:56:00 +0900",0,1,2,28,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5,0,0,1,2,7,1
0,7080,12490,175,56,53,66,40,,0,"Tue, 17 May 2016 13:57:00 +0900",0,0,4,22,0,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,2,2,2,1
0,4860,8680,153,12,61,75,52,,0,"Tue, 17 May 2016 13:58:00 +0900",0,2,10,29,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,2,2,25,1
23,1899.333,1899.333,169,73,82,125,53,,0,"Tue, 17 May 2016 13:59:00 +0900",16.21622,27.56757,27.56757,42.16216,0,2,0,0,8.108108,21.08108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,17,1,5,1
24,1278,1278,175,46,84,161,47,,0,"Tue, 17 May 2016 14:00:00 +0900",10,25,40,46.66667,0,0,0,0,15,36.66667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,25,7,0
5,1741.667,8090,156,11,64,122,35,,0,"Tue, 17 May 2016 14:01:00 +0900",1.090909,2.181818,18.54545,41.45454,0,2,0,0,10.90909,32.72727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,12,12,12,1
12,3296,3296,163,29,69,125,38,,0,"Tue, 17 May 2016 14:02:00 +0900",1.25,13.75,30,48.75,0,1,0,0,2.5,18.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,7,2,12,1
5,5215.833,17780,232,106,68,96,35,,0,"Tue, 17 May 2016 14:03:00 +0900",4.363636,12,16.36364,56.72727,0,3,0,0,0,6.545455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,1,25,1,2
9,2303.5,8250,172,38,69,205,41,,0,"Tue, 17 May 2016 14:04:00 +0900",2.352941,10.58824,23.52941,69.41177,0,2,0,0,5.882353,22.35294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,1,2,7,1
9,4343.5,15810,185,45,70,113,38,,0,"Tue, 17 May 2016 14:05:00 +0900",1.176471,11.76471,38.82353,65.88235,0,3,0,0,3.529412,14.11765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,8,25,7,2
