EOGNoiseDuration,blinkIntervalAvg,blinkIntervalMax,blinkSpeed,blinkSpeedStd,blinkStrength,blinkStrengthMax,blinkStrengthMin,bodyMoveVertical,cadence,capturedAt,eyeMoveBigHorizontal,eyeMoveBigVertical,eyeMoveHorizontal,eyeMoveVertical,fitError,focus,footholdLeft,footholdRight,numBlinkBurst,numBlinks,numSteps1000,numSteps280,numSteps310,numSteps340,numSteps370,numSteps400,numSteps430,numSteps460,numSteps500,numSteps530,numSteps560,numSteps590,numSteps620,numSteps650,numSteps680,numSteps710,numSteps750,numSteps780,numSteps810,numSteps840,numSteps870,numSteps900,numSteps930,numSteps960,numStoredData,pitchAvg,pitchDiff,powerLeft,rollAvg,rollDiff,sittingPostureIndex1,sittingPostureIndex2,sittingPostureIndex3,sleepy
19,5446.167,5446.167,133,15,59,81,32,,0,"Tue, 17 May 2016 12:59:00 +0900",17.56097,14.63415,14.63415,117.0732,0,1,0,0,0,5.853658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,15,2,1,1
16,7047.333,7047.333,179,31,66,108,47,,0,"Tue, 17 May 2016 13:00:00 +0900",38.18182,38.18182,16.36364,53.18182,0,1,0,0,0,9.545454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,12,6,7,1
37,1579.333,1579.333,164,13,71,98,46,,0,"Tue, 17 May 2016 13:01:00 +0900",44.34783,49.56522,10.43478,44.34783,0,1,0,0,5.217391,18.26087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,12,25,0,1
31,2073.5,2073.5,229,96,101,155,60,,0,"Tue, 17 May 2016 13:02:00 +0900",39.31034,39.31034,2.068965,33.10345,0,0,0,0,6.206897,28.96552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,7,1,1,0
38,1444.667,1444.667,171,23,109,181,64,,0,"Tue, 17 May 2016 13:03:00 +0900",35.45454,32.72727,10.90909,30,0,0,0,0,5.454545,19.09091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,17,3,25,0
20,3246.667,3246.667,170,26,114,145,44,,0,"Tue, 17 May 2016 13:04:00 +0900",24,18,12,46.5,0,1,0,0,7.5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,2,25,1
31,2223.333,2223.333,201,74,115,164,42,,0,"Tue, 17 May 2016 13:05:00 +0900",16.55172,37.24138,10.34483,18.62069,0,1,0,0,2.068965,14.48276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,17,8,1,1
12,3520,3520,177,62,104,173,40,,0,"Tue, 17 May 2016 13:06:00 +0900",7.5,16.25,8.75,32.5,0,1,0,0,5,17.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,7,1,2
13,2209,2209,190,70,104,183,35,,0,"Tue, 17 May 2016 13:07:00 +0900",14.04255,10.21277,7.659575,29.3617,0,1,0,0,7.659575,26.80851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,25,25,1
3,3524.5,7410,176,55,108,187,43,,0,"Tue, 17 May 2016 13:08:00 +0900",4.210526,14.73684,7.368421,32.63158,0,1,0,0,2.105263,16.84211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,6,12,1
16,2522.667,2522.667,158,15,105,179,33,,0,"Tue, 17 May 2016 13:09:00 +0900",8.181818,25.90909,16.36364,19.09091,0,1,0,0,2.727273,21.81818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,1,12,1
10,5791.667,13870,159,14,111,179,52,,0,"Tue, 17 May 2016 13:10:00 +0900",10.8,16.8,4.8,30,0,1,0,0,1.2,10.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,25,25,25,1
6,3762,21880,163,47,126,196,48,,0,"Tue, 17 May 2016 13:11:00 +0900",2.222222,7.777778,4.444445,43.33333,0,2,0,0,2.222222,14.44444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,25,25,25,1
8,3570.667,11010,171,53,97,197,32,,0,"Tue, 17 May 2016 13:12:00 +0900",3.461539,10.38462,5.769231,45,0,1,0,0,1.153846,16.15385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,25,25,25,1
11,2597,2597,162,21,112,183,37,,0,"Tue, 17 May 2016 13:13:00 +0900",4.897959,8.571429,6.122449,25.71429,0,1,0,0,4.897959,23.26531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,12,25,1,1
3,3230,8940,152,8,106,185,31,,0,"Tue, 17 May 2016 13:14:00 +0900",0,3.157895,11.57895,32.63158,0,1,0,0,2.105263,16.84211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,25,25,1
