EOGNoiseDuration,blinkIntervalAvg,blinkIntervalMax,blinkSpeed,blinkSpeedStd,blinkStrength,blinkStrengthMax,blinkStrengthMin,bodyMoveVertical,cadence,capturedAt,eyeMoveBigHorizontal,eyeMoveBigVertical,eyeMoveHorizontal,eyeMoveVertical,fitError,focus,footholdLeft,footholdRight,numBlinkBurst,numBlinks,numSteps1000,numSteps280,numSteps310,numSteps340,numSteps370,numSteps400,numSteps430,numSteps460,numSteps500,numSteps530,numSteps560,numSteps590,numSteps620,numSteps650,numSteps680,numSteps710,numSteps750,numSteps780,numSteps810,numSteps840,numSteps870,numSteps900,numSteps930,numSteps960,numStoredData,pitchAvg,pitchDiff,powerLeft,rollAvg,rollDiff,sittingPostureIndex1,sittingPostureIndex2,sittingPostureIndex3,sleepy
10,2700,14690,171,48,58,104,37,,0,"Tue, 17 May 2016 13:25:00 +0900",12,12,25.2,78,0,2,0,0,7.2,16.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,25,21,25,0
4,4190.667,16110,178,48,65,104,33,,0,"Tue, 17 May 2016 13:26:00 +0900",0,11.78571,7.5,57.85714,0,2,0,0,2.142857,12.85714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,25,25,3,0
12,4256,4256,153,56,61,139,31,,0,"Tue, 17 May 2016 13:28:00 +0900",3.75,15,51.25,188.75,0,1,0,0,10,27.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,7,25,25,0
4,6253.333,20000,180,38,53,79,34,,0,"Tue, 17 May 2016 13:29:00 +0900",1.071429,11.78571,15,63.21429,0,2,0,0,1.071429,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,5,0,0,25,25,25,1
14,2913.333,2913.333,161,40,65,108,43,,0,"Tue, 17 May 2016 13:30:00 +0900",6.521739,26.08696,39.13044,62.6087,0,1,0,0,5.217391,19.56522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,5,0,0,2,25,2,2
9,3536,27420,165,13,67,125,38,,0,"Tue, 17 May 2016 13:31:00 +0900",3.529412,9.411765,28.23529,52.94118,0,2,0,0,5.882353,17.64706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,5,0,0,6,25,2,2
11,3062.5,3062.5,158,11,73,136,43,,0,"Tue, 17 May 2016 13:32:00 +0900",4.897959,17.14286,31.83673,34.28572,0,1,0,0,6.122449,19.59184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,5,0,0,1,25,2,1
4,4302.667,18010,155,12,62,95,41,,0,"Tue, 17 May 2016 13:33:00 +0900",0,4.285715,8.571429,31.07143,0,2,0,0,4.285715,13.92857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,5,0,0,25,25,25,1
0,10800,24190,155,5,46,61,39,,0,"Tue, 17 May 2016 13:34:00 +0900",0,2,1,21,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,5,0,0,25,25,25,1
3,3695.5,15640,160,10,51,67,38,,0,"Tue, 17 May 2016 13:35:00 +0900",0,4.210526,4.210526,21.05263,0,2,0,0,2.105263,13.68421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,5,0,0,25,7,25,1
5,3080,13460,163,8,57,77,34,,0,"Tue, 17 May 2016 13:36:00 +0900",0,3.272727,0,26.18182,0,2,0,0,0,17.45454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,5,0,0,1,25,25,1
3,5481.5,13400,196,84,61,81,45,,0,"Tue, 17 May 2016 13:37:00 +0900",1.052632,2.105263,2.105263,21.05263,0,1,0,0,1.052632,7.368421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,5,0,0,25,1,12,1
2,4340.333,11170,159,18,47,95,35,,0,"Tue, 17 May 2016 13:38:00 +0900",0,4.137931,1.034483,27.93104,0,1,0,0,1.034483,11.37931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,5,0,0,25,25,25,1
10,5100,15880,193,70,59,82,45,,0,"Tue, 17 May 2016 13:39:00 +0900",1.2,8.4,18,32.4,0,2,0,0,2.4,10.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,5,0,0,25,25,25,2
11,2066.167,2066.167,158,17,63,109,36,,0,"Tue, 17 May 2016 13:40:00 +0900",6.122449,17.14286,23.26531,28.16327,0,1,0,0,8.571429,29.38776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,5,0,0,2,8,25,2
14,1318.667,1318.667,150,12,63,132,37,,0,"Tue, 17 May 2016 13:41:00 +0900",0,5.217391,11.73913,32.6087,0,1,0,0,15.65217,45.65217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5,0,0,25,2,25,2
